編號,案類,發生日期,發生時段,發生地點
82,自行車竊盜,1040318,10~12,臺北市松山區松河街91~120號
83,自行車竊盜,1040318,16~18,臺北市大安區福住里新生南路2段31~60號
84,自行車竊盜,1040319,06~08,臺北市南港區新富里研究院路1段31~60號
85,自行車竊盜,1040319,12~14,臺北市士林區中山北路5段61~90號
86,自行車竊盜,1040320,12~14,臺北市信義區忠孝東路5段421~450號
87,自行車竊盜,1040321,12~14,臺北市大安區黎和里和平東路3段391~420號
88,自行車竊盜,1040322,18~20,臺北市大安區古莊里羅斯福路2段101巷31~60號
89,自行車竊盜,1040323,10~12,臺北市大安區敦安里敦化南路1段295巷31~60號
90,自行車竊盜,1040327,14~16,臺北市中正區建國里博愛路121~150號
91,自行車竊盜,1040329,10~12,臺北市中正區水源里羅斯福路4段52巷16弄(口)
92,自行車竊盜,1040329,14~16,臺北市中正區文盛里汀州路3段151~180號
93,自行車竊盜,1040329,16~18,臺北市南港區東新里興南街64巷4弄1~30號
94,自行車竊盜,1040331,10~12,臺北市萬華區艋舺大道181~210號
95,自行車竊盜,1040402,08~10,臺北市大安區古莊里浦城街6巷1~30號
96,自行車竊盜,1040405,18~20,臺北市中山區敬業三路121~150號
97,自行車竊盜,1040405,22~24,臺北市大同區南芳里延平北路2段241~270號
98,自行車竊盜,1040405,22~24,臺北市內湖區湖元里舊宗路2段(內湖運動公園)
99,自行車竊盜,1040407,08~10,臺北市大安區龍泉里師大路1~30號
100,自行車竊盜,1040408,00~02,臺北市大安區敦安里8鄰安和路1段78巷1~30號
101,自行車竊盜,1040409,20~22,臺北市北投區榮光里石牌路1段181~210號
102,自行車竊盜,1040410,04~06,臺北市文山區萬祥里興隆路1段102巷1~30號
103,自行車竊盜,1040410,08~10,臺北市大同區鄰江里酒泉街228巷
104,自行車竊盜,1040412,02~04,臺北市大安區昌隆里忠孝東路3段217巷5弄1~30號
105,自行車竊盜,1040412,10~12,臺北市文山區興邦里興隆路2段241~270號
106,自行車竊盜,1040414,10~12,臺北市北投區福興里自強街5巷31~60號
107,自行車竊盜,1040415,06~08,臺北市大同區建泰里南京西路91~120號
108,自行車竊盜,1040415,08~10,臺北市萬華區東園街28巷1~30號
109,自行車竊盜,1040415,10~12,臺北市大安區福住里永康街31~60號
110,自行車竊盜,1040415,14~16,臺北市中山區農安街227巷31~60號
