項次編號,name,content,display_addr,poi_addr
78,天母派出所,隸屬士林分局,臺北市士林區中山北路七段192號,臺北市士林區中山北路七段192號
79,永福派出所,隸屬士林分局,臺北市士林區仰德大道三段49號,臺北市士林區仰德大道三段49號
80,山仔后派出所,隸屬士林分局,臺北市士林區格致路39號,臺北市士林區格致路39號
81,溪山派出所,隸屬士林分局,臺北市士林區至善路三段263號,臺北市士林區至善路三段263號
82,翠山派出所,隸屬士林分局,臺北市士林區中社路一段56號,臺北市士林區中社路一段56號
83,長安派出所,隸屬北投分局,臺北市北投區中央北路一段1號,臺北市北投區中央北路一段1號
84,光明派出所,隸屬北投分局,臺北市北投區泉源路14號,臺北市北投區泉源路14號
85,大屯派出所,隸屬北投分局,臺北市北投區中和街534號,臺北市北投區中和街534號
86,關渡派出所,隸屬北投分局,臺北市北投區大度路三段305號,臺北市北投區大度路三段305號
87,公園派出所,隸屬北投分局,臺北市北投區紗帽路110號,臺北市北投區紗帽路110號
88,奇岩派出所,隸屬北投分局,臺北市北投區公館路209巷11號,臺北市北投區公館路209巷11號
89,竹子湖派出所,隸屬北投分局,臺北市北投區竹子湖路16號,臺北市北投區竹子湖路16號
90,永明派出所,隸屬北投分局,臺北市北投區石牌路二段101號,臺北市北投區石牌路二段101號
91,石牌派出所,隸屬北投分局,臺北市北投區文林北路296號,臺北市北投區文林北路296號
92,木柵派出所,隸屬文山第一分局,臺北市文山區木柵路二段202號,臺北市文山區木柵路二段202號
93,木新派出所,隸屬文山第一分局,臺北市文山區恆光街45號,臺北市文山區恆光街45號
94,復興派出所,隸屬文山第一分局,臺北市文山區木柵路一段54號,臺北市文山區木柵路一段54號
95,指南派出所,隸屬文山第一分局,臺北市文山區指南路二段177號,臺北市文山區指南路二段177號
96,萬芳派出所,隸屬文山第一分局,臺北市文山區萬美街一段50號,臺北市文山區萬美街一段50號
97,景美派出所,隸屬文山第二分局,臺北市文山區景中街2號,臺北市文山區景中街2號
98,興隆派出所,隸屬文山第二分局,臺北市文山區興隆路二段156號,臺北市文山區興隆路二段156號
99,萬盛派出所,隸屬文山第二分局,臺北市文山區羅斯福路五段151號,臺北市文山區羅斯福路五段151號
100,同德派出所,隸屬南港分局,臺北市南港區同德路83號,臺北市南港區同德路83號
101,南港派出所,隸屬南港分局,臺北市南港區經貿二路239號,臺北市南港區經貿二路239號
102,舊庄派出所,隸屬南港分局,臺北市南港區舊莊街一段213號,臺北市南港區舊莊街一段213號
103,玉成派出所,隸屬南港分局,臺北市南港區向陽路150號1樓,臺北市南港區向陽路150號1樓
104,內湖派出所,隸屬內湖分局,臺北市內湖區內湖路二段261號,臺北市內湖區內湖路二段261號
105,潭美派出所,隸屬內湖分局,臺北市內湖區新明路324號,臺北市內湖區新明路324號
106,西湖派出所,隸屬內湖分局,臺北市內湖區瑞光路515號,臺北市內湖區瑞光路515號
107,大湖派出所,隸屬內湖分局,臺北市內湖區成功路五段1號,臺北市內湖區成功路五段1號
108,文德派出所,隸屬內湖分局,臺北市內湖區民權東路六段26號,臺北市內湖區民權東路六段26號
109,東湖派出所,隸屬內湖分局,臺北市內湖區五分街10號,臺北市內湖區五分街10號
110,康樂派出所,隸屬內湖分局,臺北市內湖區康樂街110巷16弄20號,臺北市內湖區康樂街110巷16弄20號
111,康寧派出所,隸屬內湖分局,臺北市內湖區金湖路83號,臺北市內湖區金湖路83號
112,港墘派出所,隸屬內湖分局,臺北市內湖區內湖路一段550號,臺北市內湖區內湖路一段550號
